Tempo,Usina,Potencia Ativa(kW),Potencia Ativa Prevista (Random Forest),PR,Status
2024-10-31 10:08:00,BET01 ,226.67,221.5226867564369,1.0232360545952683,Normal
2024-10-31 10:13:00,BET01 ,249.995,220.186340736738,1.1353792390732458,Normal
2024-10-31 10:18:00,BET01 ,250.005,235.56043976950767,1.0613199747997843,Normal
2024-10-31 10:23:00,BET01 ,104.24,133.1494934758976,0.7828794333255895,Normal
2024-10-31 10:28:00,BET01 ,71.422,84.19240630608599,0.8483187870927635,Normal
2024-10-31 10:33:00,BET01 ,80.437,78.36561764999188,1.0264322851286598,Normal
2024-10-31 10:38:00,BET01 ,114.719,100.08457335052182,1.1462206028318136,Normal
2024-10-31 10:43:00,BET01 ,249.954,176.5076207500272,1.4161088282640708,Normal
2024-10-31 10:48:00,BET01 ,241.853,242.142315882079,0.9988051824769865,Normal
2024-10-31 11:03:00,BET01 ,89.44500000000001,124.58383112839242,0.7179503085582641,Normal
2024-10-31 11:08:00,BET01 ,246.148,200.9891201805436,1.2246832056326793,Normal
2024-10-31 11:13:00,BET01 ,249.973,244.7394237588808,1.0213842794950574,Normal
2024-10-31 11:18:00,BET01 ,242.977,238.92943743478853,1.0169404097237544,Normal
2024-10-31 11:28:00,BET01 ,189.159,185.48811943621465,1.0197903810494326,Normal
2024-10-31 11:33:00,BET01 ,250.002,234.3231756779221,1.0669111122991457,Normal
2024-10-31 11:38:00,BET01 ,85.275,94.72659630856988,0.9002223591167416,Normal
2024-10-31 11:43:00,BET01 ,192.749,234.0526381424708,0.823528423049311,Normal
2024-10-31 11:48:00,BET01 ,86.638,126.2943482546576,0.6860006104572846,Normal
2024-10-31 11:53:00,BET01 ,245.285,187.9807100833812,1.304841331279155,Normal
2024-10-31 11:58:00,BET01 ,249.916,244.5733605719676,1.021844731640183,Normal
2024-10-31 12:03:00,BET01 ,249.945,237.4985949116146,1.052406226205327,Normal
2024-10-31 12:08:00,BET01 ,249.932,244.22033920017745,1.0233873264549884,Normal
2024-10-31 12:18:00,BET01 ,79.733,135.1335088961043,0.5900313005362846,Normal
2024-10-31 12:23:00,BET01 ,250.028,244.7004157088676,1.0217718644886606,Normal
2024-10-31 12:28:00,BET01 ,147.1,130.95039426630194,1.123326132954255,Normal
2024-10-31 12:33:00,BET01 ,249.898,243.16507602538627,1.0276886964389196,Normal
2024-10-31 12:38:00,BET01 ,241.83,240.89253662737303,1.0038916248122585,Normal
2024-10-31 12:43:00,BET01 ,58.029,73.61932504695245,0.7882305354333342,Normal
2024-10-31 12:48:00,BET01 ,244.844,222.58662329137363,1.0999942241789198,Normal
2024-10-31 12:58:00,BET01 ,92.329,125.50111828808043,0.7356826876081232,Normal
2024-10-31 13:03:00,BET01 ,249.682,226.22334003742395,1.1036969039476443,Normal
2024-10-31 13:08:00,BET01 ,89.383,149.1189910921144,0.5994072206724222,Normal
2024-10-31 13:13:00,BET01 ,245.809,241.99207394729723,1.0157729383051366,Normal
2024-10-31 13:18:00,BET01 ,249.974,243.5826824919029,1.0262388008979644,Normal
2024-10-31 13:23:00,BET01 ,244.997,239.67084621407307,1.0222227854161687,Normal
2024-10-31 13:28:00,BET01 ,241.989,234.6693786176647,1.0311912079260277,Normal
2024-10-31 13:33:00,BET01 ,235.093,230.2208769342429,1.0211628203777048,Normal
2024-10-31 13:38:00,BET01 ,57.198,76.45044657957503,0.7481709075494317,Normal
2024-10-31 13:43:00,BET01 ,227.825,215.2813786826628,1.058266169578128,Normal
2024-10-31 13:48:00,BET01 ,241.145,219.03203798119924,1.1009576599962918,Normal
2024-10-31 13:53:00,BET01 ,113.871,204.9320877813386,0.5556523687081143,Normal
2024-10-31 13:58:00,BET01 ,123.314,146.67996281594023,0.8407010584993073,Normal
2024-10-31 14:03:00,BET01 ,238.483,157.0598935754023,1.5184207411009583,Normal
2024-10-31 14:08:00,BET01 ,239.245,228.84282334913817,1.0454555511010786,Normal
2024-10-31 14:13:00,BET01 ,214.566,217.2440308885184,0.9876727066904192,Normal
2024-10-31 14:18:00,BET01 ,200.335,205.99007464415607,0.972546858609935,Normal
2024-10-31 14:23:00,BET01 ,223.616,216.24867771902095,1.0340687506563702,Normal
2024-10-31 14:28:00,BET01 ,222.479,217.06676457517736,1.0249335057599211,Normal
2024-10-31 14:33:00,BET01 ,201.463,213.29071467943052,0.9445465092223672,Normal
2024-10-31 14:38:00,BET01 ,192.413,201.2517885236773,0.9560809442315221,Normal
2024-10-31 14:43:00,BET01 ,199.154,196.53206675041915,1.0133409946424188,Normal
