Tempo,Usina,Potencia Ativa(kW),Potencia Ativa(kW) prevista,PR,Status
2024-10-02 06:48:00,BET01 ,146.02100000000002,125.10589596190472,1.167179203484255,Normal
2024-10-02 06:53:00,BET01 ,170.564,138.25975256746028,1.2336489602552825,Normal
2024-10-02 06:58:00,BET01 ,104.69,130.82078898535343,0.8002550726988887,Normal
2024-10-02 07:03:00,BET01 ,175.878,158.8593113037518,1.1071305707961119,Normal
2024-10-02 07:08:00,BET01 ,176.065,171.91387630674618,1.0241465307073117,Normal
2024-10-02 07:13:00,BET01 ,182.103,181.4420659496031,1.0036426726456062,Normal
2024-10-02 07:18:00,BET01 ,186.082,182.28660896984124,1.020821008474554,Normal
2024-10-02 07:23:00,BET01 ,179.28300000000002,182.3742467015871,0.9830499823440247,Normal
2024-10-02 07:28:00,BET01 ,199.885,185.39892185678212,1.0781346406879764,Normal
2024-10-02 07:33:00,BET01 ,210.185,196.646567224603,1.068846524841361,Normal
2024-10-02 07:38:00,BET01 ,210.357,190.63369634368695,1.1034617910401032,Normal
2024-10-02 07:43:00,BET01 ,214.216,188.5538228420636,1.1361000099129868,Normal
2024-10-02 07:48:00,BET01 ,132.458,154.71821920396837,0.8561241247572644,Normal
2024-10-02 07:53:00,BET01 ,193.137,176.86961358214288,1.0919738901917266,Normal
2024-10-02 07:58:00,BET01 ,153.109,147.20406834126985,1.040113916179548,Normal
2024-10-02 08:03:00,BET01 ,63.047,80.36457658888882,0.7845123147045467,Normal
2024-10-02 08:08:00,BET01 ,64.804,68.04528601031735,0.9523657522752437,Normal
2024-10-02 08:13:00,BET01 ,202.6,153.54843898571428,1.3194533356268723,Normal
2024-10-02 08:18:00,BET01 ,51.756,64.2081361654762,0.8060660702969986,Normal
2024-10-02 08:23:00,BET01 ,156.187,163.29159666626992,0.9564913515985145,Normal
2024-10-02 08:28:00,BET01 ,74.363,76.17633284206349,0.9761955876003762,Normal
2024-10-02 08:33:00,BET01 ,75.421,85.52365882626259,0.8818729347538127,Normal
2024-10-02 08:38:00,BET01 ,92.656,91.554892156746,1.0120267504806717,Normal
2024-10-02 08:43:00,BET01 ,77.07600000000001,81.41146474805181,0.9467462628086967,Normal
2024-10-02 08:48:00,BET01 ,215.278,180.4253058576119,1.1931696553137239,Normal
2024-10-02 08:53:00,BET01 ,95.283,100.57952530833325,0.9473399253764979,Normal
2024-10-02 08:58:00,BET01 ,66.803,74.15928332142866,0.9008042824585518,Normal
2024-10-02 09:03:00,BET01 ,71.739,74.87613484166661,0.9581023399738727,Normal
2024-10-02 09:18:00,BET01 ,74.105,77.62256212391762,0.9546837668369909,Normal
2024-10-02 09:23:00,BET01 ,91.139,94.07639129650066,0.9687765309019679,Normal
2024-10-02 09:28:00,BET01 ,112.545,102.86103927052665,1.0941460517816113,Normal
2024-10-02 09:33:00,BET01 ,89.137,129.85802395620476,0.6864188849051167,Normal
2024-10-02 09:38:00,BET01 ,146.14,141.83394141825406,1.0303598598381172,Normal
2024-10-02 09:53:00,BET01 ,110.273,121.19768100793648,0.9098606432311102,Normal
2024-10-02 09:58:00,BET01 ,112.719,117.9260249861111,0.9558449885279829,Normal
2024-10-02 10:03:00,BET01 ,112.719,138.15522540930723,0.8158866207633602,Normal
2024-10-02 10:08:00,BET01 ,224.639,200.3525988634559,1.1212182985112948,Normal
2024-10-02 10:13:00,BET01 ,197.631,199.79190344906203,0.9891842291316226,Normal
2024-10-02 10:18:00,BET01 ,114.709,148.5175460476191,0.7723599201081663,Normal
2024-10-02 10:23:00,BET01 ,104.833,106.84083166230148,0.9812072628875844,Normal
2024-10-02 10:28:00,BET01 ,111.066,125.45078016785725,0.8853352673565685,Normal
2024-10-02 10:33:00,BET01 ,156.276,157.24977229682548,0.9938074804013873,Normal
2024-10-02 10:38:00,BET01 ,156.276,160.73500880674598,0.972258633387658,Normal
2024-10-02 10:43:00,BET01 ,171.65200000000002,162.56032302824647,1.0559280198414331,Normal
2024-10-02 10:48:00,BET01 ,165.208,168.07396163452387,0.9829482115691669,Normal
2024-10-02 10:53:00,BET01 ,188.598,192.390003088492,0.9802900201277724,Normal
2024-10-02 10:58:00,BET01 ,210.079,204.84848532539684,1.025533577494091,Normal
2024-10-02 11:03:00,BET01 ,210.079,193.98562627738065,1.0829616813959577,Normal
2024-10-02 11:08:00,BET01 ,113.267,121.29856741038977,0.9337867908759668,Normal
2024-10-02 11:18:00,BET01 ,152.197,151.41599184007902,1.0051580295478026,Normal
2024-10-02 11:23:00,BET01 ,101.798,124.41058712211382,0.8182422602031555,Normal
2024-10-02 11:28:00,BET01 ,101.798,132.3134107993148,0.7693702352998913,Normal
2024-10-02 11:33:00,BET01 ,82.718,127.1725683813492,0.6504390141115622,Normal
2024-10-02 11:38:00,BET01 ,237.175,180.38706576756877,1.3148115636273128,Normal
2024-10-02 11:43:00,BET01 ,106.069,151.43718202002142,0.700415833054637,Normal
2024-10-02 11:48:00,BET01 ,237.651,235.65209542471143,1.0084824392148348,Normal
2024-10-02 11:53:00,BET01 ,236.621,232.38962509062048,1.018208105924391,Normal
2024-10-02 11:58:00,BET01 ,222.283,222.5638823714285,0.998737969663201,Normal
2024-10-02 12:03:00,BET01 ,215.282,210.97589236190453,1.0204104250485115,Normal
2024-10-02 12:08:00,BET01 ,197.617,188.23380565396852,1.0498486141393786,Normal
2024-10-02 12:18:00,BET01 ,151.244,190.83123892142868,0.7925536765092847,Normal
2024-10-02 12:23:00,BET01 ,237.591,225.7645058595239,1.0523842049282752,Normal
2024-10-02 12:28:00,BET01 ,231.465,222.19271347738083,1.0417308307617525,Normal
2024-10-02 12:33:00,BET01 ,232.158,232.217275402381,0.9997447416335485,Normal
2024-10-02 12:38:00,BET01 ,234.551,232.70695203772908,1.0079243355049055,Normal
2024-10-02 12:43:00,BET01 ,232.315,230.67552391064223,1.00710728239201,Normal
2024-10-02 12:48:00,BET01 ,227.55,227.85831711785752,0.9986468910954958,Normal
2024-10-02 12:58:00,BET01 ,228.275,227.7196126964288,1.002438908519977,Normal
2024-10-02 13:03:00,BET01 ,227.872,226.07462232063511,1.0079503734692332,Normal
2024-10-02 13:08:00,BET01 ,229.017,228.12763721626996,1.0038985315176299,Normal
2024-10-02 13:13:00,BET01 ,226.831,226.83355126666663,0.9999887526926577,Normal
2024-10-02 13:18:00,BET01 ,225.826,226.0321667980164,0.9990878873527739,Normal
2024-10-02 13:23:00,BET01 ,227.89,225.1237884218253,1.012287513450118,Normal
2024-10-02 13:33:00,BET01 ,226.664,225.8636002285713,1.0035437306879846,Normal
2024-10-02 13:38:00,BET01 ,225.495,220.96143506367247,1.0205174488254982,Normal
2024-10-02 13:43:00,BET01 ,225.036,224.4616115652597,1.002558960664743,Normal
2024-10-02 13:48:00,BET01 ,224.313,223.6752275815656,1.0028513323774393,Normal
2024-10-02 13:53:00,BET01 ,222.692,222.17886991111075,1.0023095359567475,Normal
2024-10-02 13:58:00,BET01 ,221.727,221.10199015501465,1.0028267942977227,Normal
2024-10-02 14:03:00,BET01 ,221.879,221.02072018690507,1.003883254983375,Normal
2024-10-02 14:08:00,BET01 ,221.8,221.0249920503968,1.0035064267728895,Normal
2024-10-02 14:13:00,BET01 ,220.267,219.2281321837303,1.0047387523030076,Normal
2024-10-02 14:18:00,BET01 ,218.727,217.45005542525223,1.0058723580099833,Normal
2024-10-02 14:23:00,BET01 ,218.129,217.759020936508,1.0016990297894472,Normal
2024-10-02 14:28:00,BET01 ,216.951,216.326534587698,1.0028866796830642,Normal
2024-10-02 14:33:00,BET01 ,215.827,212.43034357063524,1.0159895068297309,Normal
2024-10-02 14:38:00,BET01 ,213.634,211.89508918971868,1.0082064705554568,Normal
2024-10-02 14:43:00,BET01 ,211.776,211.36158319563484,1.0019607007011373,Normal
2024-10-02 14:48:00,BET01 ,209.128,209.0055954448409,1.0005856520486858,Normal
2024-10-02 14:53:00,BET01 ,208.826,207.44186648015872,1.0066723923349084,Normal
2024-10-02 14:58:00,BET01 ,205.48,205.1488361619047,1.0016142613542975,Normal
2024-10-02 15:03:00,BET01 ,203.958,203.5224823531749,1.0021398994439805,Normal
2024-10-02 15:08:00,BET01 ,202.749,202.37784134202744,1.001833988620055,Normal
2024-10-02 15:13:00,BET01 ,201.889,200.984363969444,1.0045010269092054,Normal
2024-10-02 15:18:00,BET01 ,199.748,198.65191412633504,1.0055176204995835,Normal
2024-10-02 15:23:00,BET01 ,197.337,195.504168772619,1.0093748958852773,Normal
2024-10-02 15:28:00,BET01 ,194.448,192.51786898860047,1.0100257239576749,Normal
2024-10-02 15:33:00,BET01 ,191.244,188.77584598769857,1.0130745223224282,Normal
2024-10-02 15:38:00,BET01 ,183.736,183.87452738373008,0.9992466200419322,Normal
2024-10-02 15:43:00,BET01 ,178.985,176.22492783391027,1.01566221192436,Normal
2024-10-02 15:48:00,BET01 ,175.80700000000002,171.81735985992069,1.0232202388823342,Normal
2024-10-02 15:53:00,BET01 ,172.829,170.96293472507202,1.0109150283242905,Normal
