Tempo,velocidade do vento,humidade,irradiancia inclinada,temperatura ambiente,Usina,Potencia Ativa(kW),lag_1,lag_2,Potencia Ativa Prevista (Random Forest),Potencia Ativa Prevista (kNN)
2024-10-13 12:23:00,6.942147500000002,34.99946666666666,1079.6044,35.300000000000004,BET01 ,249.988,250.009,249.939,246.1378739776888,246.62486363636364
2024-10-13 12:28:00,7.265590625,34.10066666666667,531.3898,35.25,BET01 ,56.725,249.988,250.009,124.25588639651642,165.7142272727273
2024-10-13 12:33:00,6.026938333333334,35.0,1045.7723,35.04984,BET01 ,249.973,56.725,249.988,206.52749025641026,215.45245454545454
2024-10-13 12:38:00,8.019427291666668,34.0992,1038.8086,35.25016000000001,BET01 ,249.974,249.973,56.725,233.217473001618,230.50927272727267
2024-10-13 12:43:00,6.132219166666667,34.1004,1041.9378000000002,35.34984,BET01 ,249.988,249.974,249.973,243.85727239794193,235.2591818181818
2024-10-13 12:48:00,6.447070520833333,33.39986666666667,1067.5828,35.35016,BET01 ,249.936,249.988,249.974,247.13474482107114,243.47140909090905
2024-10-13 12:53:00,5.9188759375,35.19973333333334,1034.4457,35.000159999999994,BET01 ,249.951,249.936,249.988,241.20897707278567,230.84927272727273
2024-10-13 12:58:00,6.792687291666668,34.5,1036.7428,35.1,BET01 ,250.019,249.951,249.936,242.40990477941963,226.85249999999996
2024-10-13 13:03:00,6.080911354166668,35.199733333333334,1036.8424000000002,35.0,BET01 ,218.216,250.019,249.951,240.22757382535318,226.8525
2024-10-13 13:08:00,4.711091041666666,34.04906666666667,1025.1158,35.15016,BET01 ,250.033,218.216,250.019,234.58696126568205,226.8045454545454
2024-10-13 13:13:00,6.100264270833333,34.35013333333333,1029.4431,35.59984,BET01 ,250.048,250.033,218.216,235.16450211412632,228.59686363636365
2024-10-13 13:18:00,5.357861250000001,34.2,1022.7076,35.800000000000004,BET01 ,249.99,250.048,250.033,242.4668587820971,230.66536363636362
2024-10-13 13:23:00,7.115585833333334,34.2496,272.2554,35.70048,BET01 ,52.598,249.99,250.048,76.65943882580315,69.10054545454547
2024-10-13 13:28:00,4.801632083333334,35.64906666666667,1013.0158,35.05032,BET01 ,250.018,52.598,249.99,211.81255642372685,190.13109090909091
2024-10-13 13:33:00,4.4733535416666665,34.74973333333334,1006.9392,34.90016,BET01 ,249.997,250.018,52.598,229.03958749817025,237.80145454545453
2024-10-13 13:38:00,5.892725625000001,35.35,985.4035,35.04984,BET01 ,249.964,249.997,250.018,248.27845754057162,236.53268181818186
2024-10-13 13:43:00,4.713373359375,35.64973333333334,937.3564,35.0,BET01 ,250.017,249.964,249.997,239.89378004304666,248.71554545454546
2024-10-13 13:48:00,5.286488723958334,35.299866666666674,927.7925,35.1,BET01 ,250.008,250.017,249.964,239.25393685105607,237.27127272727273
2024-10-13 13:53:00,6.69019,34.95,935.7302,35.2,BET01 ,249.965,250.008,250.017,247.0656828170224,242.05300000000005
2024-10-13 13:58:00,6.747104895833334,34.89986666666667,937.8321,35.1,BET01 ,250.025,249.965,250.008,247.12712999569302,248.79540909090903
2024-10-13 14:03:00,5.586654791666668,35.300266666666666,943.6971,34.800000000000004,BET01 ,249.987,250.025,249.965,244.76584345489024,249.05422727272733
2024-10-13 14:08:00,6.2786259375,34.650800000000004,935.9788,34.99984,BET01 ,249.983,249.987,250.025,247.5200683464373,242.23545454545456
2024-10-13 14:13:00,7.681408333333334,35.24933333333333,938.0291,34.800160000000005,BET01 ,250.019,249.983,249.987,244.66483170241514,248.7954090909091
2024-10-13 14:18:00,6.109107916666667,35.2008,934.3101,34.7,BET01 ,249.962,250.019,249.983,244.63174902402602,241.80827272727277
2024-10-13 14:23:00,6.640960833333334,35.29946666666667,934.0435,34.75016,BET01 ,250.03,249.962,250.019,242.59052877916045,241.80827272727277
2024-10-13 14:28:00,9.10269,35.24973333333334,942.4705,34.7,BET01 ,250.012,250.03,249.962,245.16765049889804,249.024
2024-10-13 14:53:00,7.082791666666667,35.75026666666667,908.4335,34.400000000000006,BET01 ,242.408,250.012,250.03,237.14758112812126,235.24745454545456
2024-10-13 14:58:00,4.570216562500001,36.69973333333333,901.0439,34.2,BET01 ,240.256,242.408,250.012,230.36452697315147,234.14631818181817
2024-10-13 15:08:00,5.296227291666668,37.699866666666665,878.0708,34.300000000000004,BET01 ,231.209,240.256,242.408,223.2000601617431,219.07754545454546
2024-10-13 15:13:00,5.380038541666667,36.94973333333333,875.7,34.45,BET01 ,231.851,231.209,240.256,222.3376973788378,228.4003636363636
2024-10-13 15:18:00,5.681907291666667,37.4,867.1151,34.2,BET01 ,230.275,231.851,231.209,222.96435893888403,214.9335909090909
2024-10-13 15:28:00,5.621898958333333,36.30026666666667,840.8205,34.400000000000006,BET01 ,220.629,230.275,231.851,222.30379402133366,220.5908181818182
2024-10-13 15:33:00,4.73365375,36.1,824.5006000000001,34.35016,BET01 ,213.501,220.629,230.275,212.13637390155665,225.73227272727271
2024-10-13 15:38:00,6.647928125,36.7496,806.4651,33.85016,BET01 ,211.159,213.501,220.629,202.03845045280207,209.6106818181819
2024-10-13 15:43:00,5.187220520833334,37.39986666666667,797.8140000000001,33.50016,BET01 ,207.42,211.159,213.501,198.22451059618692,209.2120909090909
2024-10-13 15:48:00,3.9338784375,37.4,786.5525,33.7,BET01 ,203.189,207.42,211.159,194.7241832626599,203.46713636363637
2024-10-13 15:53:00,3.639230416666667,36.75066666666667,771.5428000000002,33.99984,BET01 ,197.76,203.189,207.42,191.55595248129018,200.72522727272727
2024-10-13 15:58:00,5.104138541666668,37.09946666666667,754.0309000000001,33.90016,BET01 ,191.846,197.76,203.189,188.1199980258735,196.39313636363642
2024-10-13 16:03:00,4.799644166666666,37.74973333333334,722.9057,33.65016,BET01 ,182.054,191.846,197.76,178.5965733994766,183.14645454545453
2024-10-13 16:08:00,5.27285375,38.050133333333335,697.9309000000001,33.69984000000001,BET01 ,164.109,182.054,191.846,167.78398270778627,166.37318181818182
2024-10-13 16:13:00,4.663978541666667,38.69973333333333,654.0205000000001,33.4,BET01 ,143.56,164.109,182.054,157.40679340099058,160.9607727272727
2024-10-13 16:18:00,4.720708333333334,39.6,598.7194,33.29984,BET01 ,123.408,143.56,164.109,134.93515152024062,133.01590909090908
2024-10-13 16:23:00,3.7675671354166673,40.299733333333336,532.1370000000001,33.2,BET01 ,104.961,123.408,143.56,113.4476673168229,109.83027272727273
2024-10-13 16:28:00,5.423675000000001,41.60013333333333,478.4707000000001,33.0,BET01 ,90.876,104.961,123.408,96.39387952828743,94.3573181818182
2024-10-13 16:33:00,4.528229531250001,42.34973333333333,411.7503,32.9,BET01 ,74.286,90.876,104.961,91.08268844453552,92.50686363636363
2024-10-13 16:38:00,4.834646875,43.400000000000006,360.26290000000006,32.50016,BET01 ,61.47,74.286,90.876,73.69636846886684,72.86313636363637
2024-10-13 16:43:00,5.4642766145833335,43.40026666666667,315.9941,32.1,BET01 ,48.849,61.47,74.286,54.76610546952888,54.55213636363636
2024-10-13 16:48:00,3.6567059895833336,45.2992,256.084,31.8,BET01 ,34.447,48.849,61.47,41.13456523460653,36.66777272727273
2024-10-13 16:53:00,3.8529990625,46.10053333333334,199.087,31.6,BET01 ,23.141,34.447,48.849,27.369917984979907,23.33368181818182
2024-10-13 16:58:00,4.508183541666668,46.699200000000005,153.8424,31.3,BET01 ,16.283,23.141,34.447,20.89346921122936,18.21609090909091
2024-10-13 17:03:00,3.780807395833334,48.74973333333334,111.3683,31.1,BET01 ,11.723,16.283,23.141,12.422629632321836,11.565636363636365
